precio,baños,habitabiones,metros_construidos,estrato
350000000,3.0,4.0,100.0,3.0
380000000,3.0,3.0,130.0,3.0
9053716537,4.0,4.0,406.0,6.0
290000000,3.0,4.0,186.0,3.0
397000000,3.0,3.0,140.0,4.0
4000000000,4.0,4.0,,5.0
3360000000,3.0,3.0,280.0,5.0
12000000000,8.0,6.0,840.0,6.0
6200000000,2.0,4.0,700.0,5.0
550000000,3.0,3.0,90.0,6.0
530000000,3.0,3.0,128.0,6.0
500000000,4.0,6.0,190.0,3.0
480000000,3.0,4.0,180.0,4.0
1300000000,3.0,3.0,365.0,5.0
3200000000,3.0,9.0,,
2300000000,3.0,4.0,300.0,6.0
300000000,2.0,3.0,194.0,3.0
270000000,,3.0,,3.0
1900000000,3.0,3.0,250.0,
230000000,2.0,3.0,56.0,3.0
3500000000,3.0,3.0,200.0,6.0
330000000,2.0,3.0,160.0,3.0
287000000,2.0,3.0,110.0,3.0
2613000000,5.0,5.0,201.0,
11900000000,8.0,6.0,840.0,
400000000,4.0,8.0,218.0,3.0
7000000000,6.0,6.0,490.0,6.0
460000000,4.0,4.0,360.0,4.0
1990000000,5.0,6.0,500.0,5.0
650000000,3.0,3.0,136.0,5.0
1000000000,4.0,3.0,520.0,4.0
3800000000,3.0,3.0,501.0,
1200000000,4.0,4.0,338.0,4.0
2900000000,3.0,5.0,574.0,5.0
1425000000,,,500.0,
350000000,3.0,4.0,112.0,
1200000000,7.0,6.0,728.0,3.0
2300000000,2.0,4.0,332.0,5.0
950000000,5.0,3.0,210.0,5.0
980000000,3.0,4.0,253.0,5.0
1700000000,5.0,3.0,340.0,
430000000,2.0,4.0,168.0,3.0
3500000000,5.0,5.0,700.0,6.0
650000000,2.0,3.0,182.0,4.0
350000000,3.0,3.0,140.0,4.0
1600000000,3.0,3.0,450.0,6.0
8500000000,5.0,5.0,530.0,6.0
2600000000,5.0,4.0,550.0,6.0
280000000,,,118.0,3.0
7000000000,6.0,10.0,557.0,
1600000000,3.0,7.0,,
260000000,2.0,4.0,160.0,3.0
600000000,3.0,3.0,142.0,5.0
2800000000,5.0,5.0,268.0,
1900000000,3.0,3.0,220.0,6.0
3700000000,5.0,4.0,420.0,6.0
520000000,2.0,3.0,88.0,5.0
2150000000,3.0,3.0,300.0,5.0
2000000000,2.0,3.0,450.0,5.0
220000000,2.0,4.0,120.0,3.0
750000000,2.0,3.0,200.0,5.0
330000000,,4.0,8450.0,4.0
1703345000,6.0,10.0,1486.0,5.0
700000000,4.0,4.0,205.0,4.0
1200000000,9.0,16.0,310.0,5.0
5500000000,5.0,5.0,450.0,5.0
2600000000,4.0,3.0,460.0,6.0
1395000000,4.0,3.0,140.0,6.0
3100000000,3.0,3.0,260.0,5.0
9500000000,,,1090.0,4.0
370000000,2.0,3.0,,4.0
450000000,3.0,3.0,220.0,4.0
625000000,2.0,3.0,159.0,
1400000000,5.0,8.0,268.0,5.0
4750000000,,9.0,274.0,4.0
1500000000,4.0,4.0,1000.0,4.0
5000000000,6.0,5.0,800.0,6.0
275000000,2.0,3.0,,3.0
2150000000,,,315.0,
250000000,2.0,3.0,,3.0
5982632073,6.0,5.0,385.0,
690000000,4.0,4.0,470.0,5.0
680000000,3.0,6.0,403.0,4.0
215000000,,3.0,145.0,2.0
220000000,,3.0,120.0,3.0
270000000,,2.0,,3.0
18000000000,4.0,6.0,2358.0,4.0
1100000000,3.0,3.0,209.0,5.0
2200000000,7.0,7.0,406.0,4.0
